강,접수번호,국   명,천연기념물,멸종 위기종,구조 일자,구조결과일자,구조 결과,발견장소 특징,기준일자
조강(Aves),2021-0121,독수리,243-1,2 급,2021-03-21,2021-04-08,폐사,농경지,2021-09-13
조강(Aves),2021-0122,멧비둘기,해당없음,해당없음,2021-03-21,2021-03-23,폐사,건물옆,2021-09-13
조강(Aves),2021-0123,황조롱이,323-8,해당없음,2021-03-23,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0124,멧비둘기,해당없음,해당없음,2021-03-23,2021-03-23,방생,건물옆,2021-09-13
조강(Aves),2021-0125,박새,해당없음,해당없음,2021-03-23,2021-03-23,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0126,너구리,해당없음,해당없음,2021-03-24,2021-03-30,방생,건물옆,2021-09-13
조강(Aves),2021-0127,매,323-7,1 급,2021-03-24,2021-04-26,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0128,너구리,해당없음,해당없음,2021-03-25,2021-03-27,폐사,건물옆,2021-09-13
조강(Aves),2021-0129,집비둘기,해당없음,해당없음,2021-03-25,2021-04-14,방생,건물옆,2021-09-13
조강(Aves),2021-0130,까치,해당없음,해당없음,2021-03-25,2021-03-30,폐사,도로변,2021-09-13
조강(Aves),2021-0131,딱새,해당없음,해당없음,2021-03-26,2021-04-03,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0132,고라니,해당없음,해당없음,2021-03-26,2021-03-26,안락사,도로변,2021-09-13
조강(Aves),2021-0133,멧비둘기,해당없음,해당없음,2021-03-27,2021-04-30,방생,기타,2021-09-13
조강(Aves),2021-0134,떼까마귀,해당없음,해당없음,2021-03-27,2021-03-28,안락사,농경지,2021-09-13
포유강(Mammalia),2021-0135,족제비,해당없음,해당없음,2021-03-29,2021-03-30,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0136,고라니,해당없음,해당없음,2021-03-30,2021-04-13,폐사,숲,2021-09-13
조강(Aves),2021-0137,개똥지빠귀,해당없음,해당없음,2021-03-30,2021-03-30,DOA,건물옆,2021-09-13
조강(Aves),2021-0138,딱새,해당없음,해당없음,2021-03-30,2021-03-30,방생,건물옆,2021-09-13
조강(Aves),2021-0139,제비,해당없음,해당없음,2021-03-30,2021-04-02,방생,건물옆,2021-09-13
조강(Aves),2021-0140,집비둘기,해당없음,해당없음,2021-03-31,2021-04-05,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0141,고라니,해당없음,해당없음,2021-03-31,2021-04-03,폐사,도로변,2021-09-13
조강(Aves),2021-0142,까치,해당없음,해당없음,2021-03-31,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0143,까치,해당없음,해당없음,2021-03-31,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0144,꿩,해당없음,해당없음,2021-04-01,2021-04-01,DOA,건물옆,2021-09-13
조강(Aves),2021-0145,집비둘기,해당없음,해당없음,2021-04-03,2021-04-14,방생,건물옆,2021-09-13
조강(Aves),2021-0146,붉은머리오목눈이,해당없음,해당없음,2021-04-05,2021-04-07,방생,건물옆,2021-09-13
조강(Aves),2021-0147,집비둘기,해당없음,해당없음,2021-04-05,2021-04-30,방생,건물옆,2021-09-13
조강(Aves),2021-0148,집비둘기,해당없음,해당없음,2021-04-06,2021-04-30,방생,건물옆,2021-09-13
조강(Aves),2021-0149,직박구리,해당없음,해당없음,2021-04-06,2021-04-07,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0150,고라니,해당없음,해당없음,2021-04-07,2021-04-07,안락사,도로변,2021-09-13
조강(Aves),2021-0151,집비둘기,해당없음,해당없음,2021-04-08,2021-04-08,DOA,건물옆,2021-09-13
조강(Aves),2021-0152,상모솔새,해당없음,해당없음,2021-04-08,2021-04-08,DOA,건물옆,2021-09-13
조강(Aves),2021-0153,직박구리,해당없음,해당없음,2021-04-09,2021-04-11,방생,건물옆,2021-09-13
조강(Aves),2021-0154,집비둘기,해당없음,해당없음,2021-04-09,2021-05-07,방생,도로변,2021-09-13
포유강(Mammalia),2021-0155,고라니,해당없음,해당없음,2021-04-11,2021-04-11,DOA,도로변,2021-09-13
조강(Aves),2021-0156,집비둘기,해당없음,해당없음,2021-04-11,2021-05-07,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0157,노루,해당없음,해당없음,2021-04-12,2021-04-12,DOA,도로변,2021-09-13
조강(Aves),2021-0158,소쩍새,324-6,해당없음,2021-04-13,2021-04-14,방생,건물옆,2021-09-13
조강(Aves),2021-0159,집비둘기,해당없음,해당없음,2021-04-13,2021-05-07,방생,건물옆,2021-09-13
조강(Aves),2021-0160,까치,해당없음,해당없음,2021-04-10,2021-04-15,안락사,기타,2021-09-13
조강(Aves),2021-0161,꿩,해당없음,해당없음,2021-04-15,2021-04-15,DOA,도로변,2021-09-13
조강(Aves),2021-0162,멧비둘기,해당없음,해당없음,2021-04-16,2021-04-16,폐사,건물옆,2021-09-13
조강(Aves),2021-0163,바다비오리,해당없음,해당없음,2021-04-16,2021-04-16,안락사,건물옆,2021-09-13
조강(Aves),2021-0164,집비둘기,해당없음,해당없음,2021-04-16,2021-04-16,DOA,도로변,2021-09-13
조강(Aves),2021-0165,검은지빠귀,해당없음,해당없음,2021-04-16,2021-04-17,DOA,건물옆,2021-09-13
조강(Aves),2021-0166,까치,해당없음,해당없음,2021-04-17,2021-05-27,방생,기타,2021-09-13
포유강(Mammalia),2021-0167,고라니,해당없음,해당없음,2021-04-17,2021-04-17,DOA,도로변,2021-09-13
조강(Aves),2021-0168,물총새,해당없음,해당없음,2021-04-19,2021-05-10,방생,도로변,2021-09-13
조강(Aves),2021-0169,딱새,해당없음,해당없음,2021-04-19,2021-04-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0170,딱새,해당없음,해당없음,2021-04-19,2021-04-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0171,딱새,해당없음,해당없음,2021-04-19,2021-04-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0172,딱새,해당없음,해당없음,2021-04-19,2021-04-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0173,딱새,해당없음,해당없음,2021-04-19,2021-04-21,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0174,고라니,해당없음,해당없음,2021-04-19,2021-04-19,DOA,도로변,2021-09-13
조강(Aves),2021-0175,까치,해당없음,해당없음,2021-04-19,2021-04-20,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0176,고라니,해당없음,해당없음,2021-04-19,2021-04-20,안락사,건물옆,2021-09-13
조강(Aves),2021-0177,소쩍새,324-6,해당없음,2021-04-20,2021-04-22,방생,건물옆,2021-09-13
조강(Aves),2021-0178,까치,해당없음,해당없음,2021-04-21,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0179,까치,해당없음,해당없음,2021-04-21,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0180,까치,해당없음,해당없음,2021-04-21,2021-05-27,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0181,고라니,해당없음,해당없음,2021-04-21,2021-04-21,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0182,고라니,해당없음,해당없음,2021-04-22,2021-04-22,DOA,도로변,2021-09-13
조강(Aves),2021-0183,딱새,해당없음,해당없음,2021-04-23,2021-04-27,폐사,도로변,2021-09-13
포유강(Mammalia),2021-0184,고라니,해당없음,해당없음,2021-04-24,2021-04-24,DOA,도로변,2021-09-13
조강(Aves),2021-0185,까치,해당없음,해당없음,2021-04-24,2021-05-15,폐사,숲,2021-09-13
조강(Aves),2021-0186,직박구리,해당없음,해당없음,2021-04-26,2021-04-26,방생,도로변,2021-09-13
포유강(Mammalia),2021-0187,너구리,해당없음,해당없음,2021-04-26,2021-07-23,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0188,고라니,해당없음,해당없음,2021-04-26,2021-04-26,방생,기타,2021-09-13
조강(Aves),2021-0189,집비둘기,해당없음,해당없음,2021-04-27,2021-05-07,방생,건물옆,2021-09-13
조강(Aves),2021-0190,까치,해당없음,해당없음,2021-04-27,2021-06-04,방생,건물옆,2021-09-13
조강(Aves),2021-0191,까치,해당없음,해당없음,2021-04-27,2021-04-27,DOA,건물옆,2021-09-13
조강(Aves),2021-0192,소쩍새,324-6,해당없음,2021-04-27,2021-04-30,방생,건물옆,2021-09-13
조강(Aves),2021-0193,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-02,폐사,건물옆,2021-09-13
조강(Aves),2021-0194,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-01,폐사,건물옆,2021-09-13
조강(Aves),2021-0195,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-02,폐사,건물옆,2021-09-13
조강(Aves),2021-0196,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-04,폐사,건물옆,2021-09-13
조강(Aves),2021-0197,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-02,폐사,건물옆,2021-09-13
조강(Aves),2021-0198,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-03,폐사,도로변,2021-09-13
조강(Aves),2021-0199,까치,해당없음,해당없음,2021-04-28,2021-04-28,DOA,도로변,2021-09-13
조강(Aves),2021-0200,멧비둘기,해당없음,해당없음,2021-04-28,2021-04-29,안락사,건물옆,2021-09-13
조강(Aves),2021-0201,까치,해당없음,해당없음,2021-04-28,2021-04-29,DOA,도로변,2021-09-13
조강(Aves),2021-0202,까치,해당없음,해당없음,2021-04-28,2021-04-29,DOA,건물옆,2021-09-13
조강(Aves),2021-0203,멧비둘기,해당없음,해당없음,2021-04-29,2021-04-29,DOA,도로변,2021-09-13
조강(Aves),2021-0204,물총새,해당없음,해당없음,2021-04-29,2021-04-29,DOA,건물옆,2021-09-13
조강(Aves),2021-0205,까치,해당없음,해당없음,2021-04-29,2021-04-29,DOA,건물옆,2021-09-13
조강(Aves),2021-0206,물총새,해당없음,해당없음,2021-04-30,2021-05-01,DOA,건물옆,2021-09-13
조강(Aves),2021-0207,집비둘기,해당없음,해당없음,2021-04-30,2021-08-14,방생,건물옆,2021-09-13
조강(Aves),2021-0208,황조롱이,323-8,해당없음,2021-04-30,2021-05-06,안락사,건물옆,2021-09-13
조강(Aves),2021-0209,북방검은머리쑥새,해당없음,해당없음,2021-05-01,2021-05-01,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0210,고라니,해당없음,해당없음,2021-05-02,2021-05-02,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0211,고라니,해당없음,해당없음,2021-05-02,2021-05-02,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0212,고라니,해당없음,해당없음,2021-05-02,2021-05-02,DOA,도로변,2021-09-13
조강(Aves),2021-0213,까치,해당없음,해당없음,2021-05-02,2021-05-27,방생,도로변,2021-09-13
포유강(Mammalia),2021-0214,노루,해당없음,해당없음,2021-05-03,2021-05-04,방생,농경지,2021-09-13
포유강(Mammalia),2021-0215,하늘다람쥐,328,2 급,2021-05-03,2021-06-10,방생,도로변,2021-09-13
포유강(Mammalia),2021-0216,너구리,해당없음,해당없음,2021-05-03,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0217,소쩍새,324-6,해당없음,2021-05-03,2021-05-07,방생,기타,2021-09-13
조강(Aves),2021-0218,참새,해당없음,해당없음,2021-05-04,2021-05-25,방생,건물옆,2021-09-13
조강(Aves),2021-0219,청딱다구리,해당없음,해당없음,2021-05-04,2021-05-24,안락사,건물옆,2021-09-13
조강(Aves),2021-0220,박새,해당없음,해당없음,2021-05-04,2021-05-04,DOA,건물옆,2021-09-13
조강(Aves),2021-0221,참새,해당없음,해당없음,2021-05-04,2021-05-04,DOA,건물옆,2021-09-13
조강(Aves),2021-0222,까치,해당없음,해당없음,2021-05-05,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0223,까치,해당없음,해당없음,2021-05-05,2021-05-27,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0224,고라니,해당없음,해당없음,2021-05-05,2021-05-05,방생,건물옆,2021-09-13
조강(Aves),2021-0225,집비둘기,해당없음,해당없음,2021-05-05,2021-08-14,방생,건물옆,2021-09-13
조강(Aves),2021-0226,까치,해당없음,해당없음,2021-05-06,2021-06-04,방생,건물옆,2021-09-13
조강(Aves),2021-0227,솔부엉이,324-3,해당없음,2021-05-06,2021-05-06,안락사,기타,2021-09-13
조강(Aves),2021-0228,곤줄박이,해당없음,해당없음,2021-05-06,2021-06-01,방생,건물옆,2021-09-13
조강(Aves),2021-0229,황조롱이,323-8,해당없음,2021-05-06,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0230,까치,해당없음,해당없음,2021-05-06,2021-05-06,DOA,건물옆,2021-09-13
조강(Aves),2021-0231,호랑지빠귀,해당없음,해당없음,2021-05-05,2021-05-06,DOA,건물옆,2021-09-13
조강(Aves),2021-0232,솔부엉이,324-3,해당없음,2021-05-07,2021-05-31,안락사,기타,2021-09-13
조강(Aves),2021-0233,까치,해당없음,해당없음,2021-05-07,2021-06-04,방생,기타,2021-09-13
조강(Aves),2021-0234,직박구리,해당없음,해당없음,2021-05-07,2021-05-07,안락사,건물옆,2021-09-13
조강(Aves),2021-0235,까치,해당없음,해당없음,2021-05-07,2021-06-04,방생,기타,2021-09-13
조강(Aves),2021-0236,솔부엉이,324-3,해당없음,2021-05-08,2021-06-09,방생,건물옆,2021-09-13
조강(Aves),2021-0237,소쩍새,324-6,해당없음,2021-05-09,2021-06-09,방생,도로변,2021-09-13
포유강(Mammalia),2021-0238,오소리,해당없음,해당없음,2021-05-09,2021-05-09,방생,건물옆,2021-09-13
조강(Aves),2021-0239,까치,해당없음,해당없음,2021-05-09,2021-05-10,DOA,도로변,2021-09-13
조강(Aves),2021-0240,까치,해당없음,해당없음,2021-05-09,2021-05-10,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0241,고라니,해당없음,해당없음,2021-05-10,2021-05-10,DOA,도로변,2021-09-13
조강(Aves),2021-0242,집비둘기,해당없음,해당없음,2021-05-10,2021-05-14,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0243,고라니,해당없음,해당없음,2021-05-10,2021-05-10,안락사,숲,2021-09-13
조강(Aves),2021-0244,박새,해당없음,해당없음,2021-05-10,2021-05-10,DOA,건물옆,2021-09-13
조강(Aves),2021-0245,집비둘기,해당없음,해당없음,2021-05-10,2021-08-14,방생,건물옆,2021-09-13
조강(Aves),2021-0246,호랑지빠귀,해당없음,해당없음,2021-05-11,2021-05-11,DOA,건물옆,2021-09-13
조강(Aves),2021-0247,집비둘기,해당없음,해당없음,2021-05-11,2021-06-25,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0248,고라니,해당없음,해당없음,2021-05-11,2021-05-11,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0249,고라니,해당없음,해당없음,2021-05-11,2021-05-11,안락사,숲,2021-09-13
포유강(Mammalia),2021-0250,고라니,해당없음,해당없음,2021-05-11,2021-05-12,안락사,도로변,2021-09-13
조강(Aves),2021-0251,참새,해당없음,해당없음,2021-05-12,2021-05-12,안락사,건물옆,2021-09-13
조강(Aves),2021-0252,까치,해당없음,해당없음,2021-05-12,2021-05-12,DOA,도로변,2021-09-13
조강(Aves),2021-0253,집비둘기,해당없음,해당없음,2021-05-12,2021-05-12,DOA,도로변,2021-09-13
조강(Aves),2021-0254,까치,해당없음,해당없음,2021-05-12,2021-06-04,방생,숲,2021-09-13
조강(Aves),2021-0255,파랑새,해당없음,해당없음,2021-05-12,2021-05-13,DOA,도로변,2021-09-13
조강(Aves),2021-0256,파랑새,해당없음,해당없음,2021-05-12,2021-07-12,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0257,고라니,해당없음,해당없음,2021-05-12,2021-05-13,DOA,도로변,2021-09-13
조강(Aves),2021-0258,비둘기조롱이,해당없음,해당없음,2021-05-13,2021-05-18,안락사,건물옆,2021-09-13
조강(Aves),2021-0259,수리부엉이,324-2,2 급,2021-05-13,2021-05-13,안락사,숲,2021-09-13
조강(Aves),2021-0260,까치,해당없음,해당없음,2021-05-13,2021-05-14,DOA,건물옆,2021-09-13
조강(Aves),2021-0261,참새,해당없음,해당없음,2021-05-13,2021-06-06,방생,건물옆,2021-09-13
조강(Aves),2021-0262,참새,해당없음,해당없음,2021-05-14,2021-05-14,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0263,고라니,해당없음,해당없음,2021-05-14,2021-05-14,DOA,도로변,2021-09-13
조강(Aves),2021-0264,집비둘기,해당없음,해당없음,2021-05-14,2021-05-14,안락사,기타,2021-09-13
조강(Aves),2021-0265,집비둘기,해당없음,해당없음,2021-05-14,2021-06-24,방생,기타,2021-09-13
포유강(Mammalia),2021-0266,고라니,해당없음,해당없음,2021-05-15,2021-05-17,안락사,도로변,2021-09-13
조강(Aves),2021-0267,집비둘기,해당없음,해당없음,2021-05-17,2021-06-09,방생,건물옆,2021-09-13
조강(Aves),2021-0268,멧비둘기,해당없음,해당없음,2021-05-17,2021-05-18,안락사,도로변,2021-09-13
조강(Aves),2021-0269,까치,해당없음,해당없음,2021-05-17,2021-05-17,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0270,고라니,해당없음,해당없음,2021-05-18,2021-05-18,안락사,도로변,2021-09-13
조강(Aves),2021-0271,쇠딱다구리,해당없음,해당없음,2021-05-18,2021-05-18,DOA,건물옆,2021-09-13
조강(Aves),2021-0272,왜가리,해당없음,해당없음,2021-05-19,2021-05-27,방생,숲,2021-09-13
조강(Aves),2021-0273,솔부엉이,324-3,해당없음,2021-05-20,2021-05-30,안락사,건물옆,2021-09-13
조강(Aves),2021-0274,황조롱이,323-8,해당없음,2021-05-21,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0275,까치,해당없음,해당없음,2021-05-22,2021-06-04,방생,기타,2021-09-13
조강(Aves),2021-0276,박새,해당없음,해당없음,2021-05-22,2021-06-06,방생,건물옆,2021-09-13
조강(Aves),2021-0277,박새,해당없음,해당없음,2021-05-22,2021-06-06,방생,건물옆,2021-09-13
조강(Aves),2021-0278,박새,해당없음,해당없음,2021-05-22,2021-06-06,폐사,건물옆,2021-09-13
조강(Aves),2021-0279,박새,해당없음,해당없음,2021-05-22,2021-06-06,방생,건물옆,2021-09-13
조강(Aves),2021-0280,박새,해당없음,해당없음,2021-05-22,2021-05-29,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0281,고라니,해당없음,해당없음,2021-05-22,2021-05-22,DOA,숲,2021-09-13
조강(Aves),2021-0282,팔색조,204,2 급,2021-05-22,2021-06-07,안락사,건물옆,2021-09-13
조강(Aves),2021-0283,붉은부리찌르레기,해당없음,해당없음,2021-05-22,2021-06-09,방생,건물옆,2021-09-13
조강(Aves),2021-0284,황조롱이,323-8,해당없음,2021-05-22,2021-06-25,안락사,건물옆,2021-09-13
조강(Aves),2021-0285,황조롱이,323-8,해당없음,2021-05-22,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0286,솔부엉이,324-3,해당없음,2021-05-23,2021-06-01,방생,건물옆,2021-09-13
조강(Aves),2021-0287,찌르레기,해당없음,해당없음,2021-05-23,2021-06-09,방생,기타,2021-09-13
조강(Aves),2021-0288,찌르레기,해당없음,해당없음,2021-05-23,2021-06-09,방생,기타,2021-09-13
조강(Aves),2021-0289,흰뺨검둥오리,해당없음,해당없음,2021-05-23,2021-05-24,DOA,강 바다,2021-09-13
조강(Aves),2021-0290,솔부엉이,324-3,해당없음,2021-05-24,2021-05-26,폐사,건물옆,2021-09-13
조강(Aves),2021-0291,집비둘기,해당없음,해당없음,2021-05-24,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0292,곤줄박이,해당없음,해당없음,2021-05-24,2021-05-29,폐사,건물옆,2021-09-13
조강(Aves),2021-0293,황조롱이,323-8,해당없음,2021-05-25,2021-08-05,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0294,고라니,해당없음,해당없음,2021-05-25,2021-05-31,방생,강 바다,2021-09-13
포유강(Mammalia),2021-0295,고라니,해당없음,해당없음,2021-05-25,2021-05-26,안락사,숲,2021-09-13
조강(Aves),2021-0296,동박새,해당없음,해당없음,2021-05-25,2021-05-25,안락사,건물옆,2021-09-13
조강(Aves),2021-0297,황조롱이,323-8,해당없음,2021-05-25,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0298,큰부리까마귀,해당없음,해당없음,2021-05-26,2021-07-12,방생,도로변,2021-09-13
조강(Aves),2021-0299,참새,해당없음,해당없음,2021-05-26,2021-05-26,안락사,건물옆,2021-09-13
조강(Aves),2021-0300,황조롱이,323-8,해당없음,2021-05-26,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0301,쏙독새,해당없음,해당없음,2021-05-26,2021-05-27,DOA,기타,2021-09-13
조강(Aves),2021-0302,딱새,해당없음,해당없음,2021-05-26,2021-05-26,DOA,도로변,2021-09-13
조강(Aves),2021-0303,황조롱이,323-8,해당없음,2021-05-27,2021-08-05,방생,건물옆,2021-09-13
조강(Aves),2021-0304,솔부엉이,324-3,해당없음,2021-05-27,2021-05-29,방생,건물옆,2021-09-13
파충강(Reptilia),2021-0305,자라,해당없음,해당없음,2021-05-27,2021-06-09,방생,강 바다,2021-09-13
파충강(Reptilia),2021-0306,자라,해당없음,해당없음,2021-05-27,2021-06-09,방생,강 바다,2021-09-13
조강(Aves),2021-0307,곤줄박이,해당없음,해당없음,2021-05-27,2021-05-30,폐사,기타,2021-09-13
조강(Aves),2021-0308,까치,해당없음,해당없음,2021-05-27,2021-05-28,DOA,도로변,2021-09-13
조강(Aves),2021-0309,집비둘기,해당없음,해당없음,2021-05-28,2021-05-28,DOA,도로변,2021-09-13
조강(Aves),2021-0310,직박구리,해당없음,해당없음,2021-05-28,2021-05-30,폐사,건물옆,2021-09-13
조강(Aves),2021-0311,박새,해당없음,해당없음,2021-05-28,2021-06-08,방생,건물옆,2021-09-13
조강(Aves),2021-0312,박새,해당없음,해당없음,2021-05-28,2021-06-08,방생,건물옆,2021-09-13
조강(Aves),2021-0313,박새,해당없음,해당없음,2021-05-28,2021-06-08,방생,건물옆,2021-09-13
조강(Aves),2021-0314,꿩,해당없음,해당없음,2021-05-29,2021-06-02,폐사,건물옆,2021-09-13
조강(Aves),2021-0315,붉은머리오목눈이,해당없음,해당없음,2021-05-29,2021-07-11,방생,기타,2021-09-13
조강(Aves),2021-0316,솔부엉이,324-3,해당없음,2021-05-30,2021-05-31,DOA,건물옆,2021-09-13
조강(Aves),2021-0317,집비둘기,해당없음,해당없음,2021-05-30,2021-06-07,안락사,건물옆,2021-09-13
조강(Aves),2021-0318,황조롱이,323-8,해당없음,2021-05-30,2021-08-05,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0319,고라니,해당없음,해당없음,2021-05-31,2021-06-01,DOA,기타,2021-09-13
조강(Aves),2021-0320,참새,해당없음,해당없음,2020-05-31,2021-06-01,DOA,건물옆,2021-09-13
조강(Aves),2021-0321,솔부엉이,324-3,해당없음,2021-05-31,2021-06-04,방생,건물옆,2021-09-13
조강(Aves),2021-0322,황조롱이,323-8,해당없음,2021-05-31,2021-06-01,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0323,고라니,해당없음,해당없음,2021-06-01,2021-06-01,방생,건물옆,2021-09-13
조강(Aves),2021-0324,집비둘기,해당없음,해당없음,2021-06-01,2021-06-01,DOA,건물옆,2021-09-13
조강(Aves),2021-0325,직박구리,해당없음,해당없음,2021-06-01,2021-06-02,DOA,건물옆,2021-09-13
조강(Aves),2021-0326,참새,해당없음,해당없음,2021-06-01,2021-06-02,DOA,건물옆,2021-09-13
조강(Aves),2021-0327,직박구리,해당없음,해당없음,2021-06-01,2021-06-02,DOA,건물옆,2021-09-13
조강(Aves),2021-0328,까치,해당없음,해당없음,2021-06-02,2021-06-02,안락사,건물옆,2021-09-13
조강(Aves),2021-0329,직박구리,해당없음,해당없음,2021-06-02,2021-06-07,폐사,건물옆,2021-09-13
조강(Aves),2021-0330,직박구리,해당없음,해당없음,2021-06-02,2021-06-05,폐사,건물옆,2021-09-13
조강(Aves),2021-0331,까치,해당없음,해당없음,2021-06-02,2021-07-18,폐사,도로변,2021-09-13
조강(Aves),2021-0332,참새,해당없음,해당없음,2021-06-02,2021-06-02,DOA,건물옆,2021-09-13
조강(Aves),2021-0333,집비둘기,해당없음,해당없음,2021-06-02,2021-07-12,방생,기타,2021-09-13
포유강(Mammalia),2021-0334,고라니,해당없음,해당없음,2021-06-03,2021-06-06,폐사,숲,2021-09-13
조강(Aves),2021-0335,황조롱이,323-8,해당없음,2021-06-04,2021-08-05,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0336,고라니,해당없음,해당없음,2021-06-04,2021-06-04,안락사,건물옆,2021-09-13
조강(Aves),2021-0337,큰부리까마귀,해당없음,해당없음,2021-06-04,2021-07-12,방생,건물옆,2021-09-13
조강(Aves),2021-0338,큰부리까마귀,해당없음,해당없음,2021-06-04,2021-08-08,폐사,건물옆,2021-09-13
조강(Aves),2021-0339,황조롱이,323-8,해당없음,2021-06-04,2021-08-05,방생,기타,2021-09-13
조강(Aves),2021-0340,황조롱이,323-8,해당없음,2021-06-04,2021-08-05,방생,도로변,2021-09-13
조강(Aves),2021-0341,매,323-7,1 급,2021-06-04,2021-06-04,계류,건물옆,2021-09-13
포유강(Mammalia),2021-0342,고라니,해당없음,해당없음,2021-06-05,2021-06-10,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0343,너구리,해당없음,해당없음,2021-06-05,2021-06-06,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0344,너구리,해당없음,해당없음,2021-06-06,2021-06-06,안락사,건물옆,2021-09-13
조강(Aves),2021-0345,큰부리까마귀,해당없음,해당없음,2021-06-06,2021-06-10,폐사,도로변,2021-09-13
조강(Aves),2021-0346,집비둘기,해당없음,해당없음,2021-06-06,2021-06-06,안락사,건물옆,2021-09-13
조강(Aves),2021-0347,멧비둘기,해당없음,해당없음,2021-06-07,2021-06-07,DOA,건물옆,2021-09-13
조강(Aves),2021-0348,참새,해당없음,해당없음,2021-06-07,2021-07-01,폐사,건물옆,2021-09-13
조강(Aves),2021-0349,붉은부리찌르레기,해당없음,해당없음,2021-06-07,2021-06-08,방생,건물옆,2021-09-13
조강(Aves),2021-0350,집비둘기,해당없음,해당없음,2021-06-07,2021-07-12,방생,건물옆,2021-09-13
조강(Aves),2021-0351,수리부엉이,324-2,2 급,2021-06-07,2021-06-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0352,참새,해당없음,해당없음,2021-06-08,2021-06-08,DOA,건물옆,2021-09-13
조강(Aves),2021-0353,참새,해당없음,해당없음,2021-06-08,2021-06-09,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0354,너구리,해당없음,해당없음,2021-06-09,2021-08-11,방생,농경지,2021-09-13
포유강(Mammalia),2021-0355,너구리,해당없음,해당없음,2021-06-09,2021-08-11,방생,농경지,2021-09-13
조강(Aves),2021-0356,꿩,해당없음,해당없음,2021-06-09,2021-06-26,폐사,도로변,2021-09-13
조강(Aves),2021-0357,꿩,해당없음,해당없음,2021-06-09,2021-06-25,폐사,도로변,2021-09-13
조강(Aves),2021-0358,꿩,해당없음,해당없음,2021-06-09,2021-06-26,폐사,도로변,2021-09-13
조강(Aves),2021-0359,집비둘기,해당없음,해당없음,2021-06-09,2021-06-17,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0360,고라니,해당없음,해당없음,2021-06-09,2021-06-10,DOA,도로변,2021-09-13
조강(Aves),2021-0361,집비둘기,해당없음,해당없음,2021-06-10,2021-07-12,방생,건물옆,2021-09-13
조강(Aves),2021-0362,참새,해당없음,해당없음,2021-06-10,2021-06-12,폐사,건물옆,2021-09-13
