강,접수번호,국   명,천연기념물,멸종 위기종,구조 일자,구조결과일자,구조 결과,발견장소 특징,기준일자
조강(Aves),2021-0617,붉은머리오목눈이,해당없음,해당없음,2021-08-18,2021-08-19,DOA,도로변,2021-09-13
조강(Aves),2021-0618,왜가리,해당없음,해당없음,2021-08-18,2021-08-18,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0619,너구리,해당없음,해당없음,2021-08-19,2021-08-19,DOA,농경지,2021-09-13
조강(Aves),2021-0620,황로,해당없음,해당없음,2021-08-19,2021-08-19,DOA,강 바다,2021-09-13
조강(Aves),2021-0621,집비둘기,해당없음,해당없음,2021-08-19,2021-08-19,안락사,건물옆,2021-09-13
조강(Aves),2021-0622,집비둘기,해당없음,해당없음,2021-08-19,2021-08-19,안락사,건물옆,2021-09-13
조강(Aves),2021-0623,직박구리,해당없음,해당없음,2021-08-19,2021-08-19,계류,건물옆,2021-09-13
조강(Aves),2021-0624,참새,해당없음,해당없음,2021-08-19,2021-08-25,방생,건물옆,2021-09-13
조강(Aves),2021-0625,집비둘기,해당없음,해당없음,2021-08-20,2021-08-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0626,멧비둘기,해당없음,해당없음,2021-08-20,2021-08-20,계류,건물옆,2021-09-13
파충강(Reptilia),2021-0627,남생이,453,2 급,2021-08-20,2021-08-30,방생,기타,2021-09-13
조강(Aves),2021-0628,멧비둘기,해당없음,해당없음,2021-08-22,2021-08-22,DOA,건물옆,2021-09-13
조강(Aves),2021-0629,집비둘기,해당없음,해당없음,2021-08-24,2021-09-13,방생,건물옆,2021-09-13
조강(Aves),2021-0630,멧비둘기,해당없음,해당없음,2021-08-24,2021-08-24,안락사,건물옆,2021-09-13
조강(Aves),2021-0631,집비둘기,해당없음,해당없음,2021-08-24,2021-08-24,계류,도로변,2021-09-13
포유강(Mammalia),2021-0632,족제비,해당없음,해당없음,2021-08-25,2021-08-25,방생,기타,2021-09-13
조강(Aves),2021-0633,뻐꾸기,해당없음,해당없음,2021-08-25,2021-09-13,방생,도로변,2021-09-13
조강(Aves),2021-0634,직박구리,해당없음,해당없음,2021-08-25,2021-09-06,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0635,족제비,해당없음,해당없음,2021-08-25,2021-08-25,안락사,숲,2021-09-13
포유강(Mammalia),2021-0636,고라니,해당없음,해당없음,2021-08-26,2021-08-26,방생,건물옆,2021-09-13
조강(Aves),2021-0637,집비둘기,해당없음,해당없음,2021-08-26,2021-09-06,안락사,건물옆,2021-09-13
조강(Aves),2021-0638,집비둘기,해당없음,해당없음,2021-08-26,2021-08-27,안락사,건물옆,2021-09-13
조강(Aves),2021-0639,소쩍새,324-6,해당없음,2021-08-27,2021-08-27,계류,건물옆,2021-09-13
조강(Aves),2021-0640,집비둘기,해당없음,해당없음,2021-08-27,2021-08-31,안락사,건물옆,2021-09-13
조강(Aves),2021-0641,직박구리,해당없음,해당없음,2021-08-27,2021-08-30,폐사,도로변,2021-09-13
조강(Aves),2021-0642,큰오색딱다구리,해당없음,해당없음,2021-08-28,2021-08-29,DOA,건물옆,2021-09-13
조강(Aves),2021-0643,파랑새,해당없음,해당없음,2021-08-29,2021-08-29,계류,기타,2021-09-13
조강(Aves),2021-0644,흰뺨검둥오리,해당없음,해당없음,2021-08-29,2021-09-10,방생,도로변,2021-09-13
조강(Aves),2021-0645,집비둘기,해당없음,해당없음,2021-08-29,2021-08-30,안락사,도로변,2021-09-13
조강(Aves),2021-0646,멧비둘기,해당없음,해당없음,2021-08-31,2021-08-31,DOA,농경지,2021-09-13
조강(Aves),2021-0647,뻐꾸기,해당없음,해당없음,2021-09-01,2021-09-13,방생,건물옆,2021-09-13
조강(Aves),2021-0648,꾀꼬리,해당없음,해당없음,2021-09-02,2021-09-12,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0649,족제비,해당없음,해당없음,2021-09-02,2021-09-02,방생,건물옆,2021-09-13
조강(Aves),2021-0650,괭이갈매기,해당없음,해당없음,2021-09-02,2021-09-02,DOA,강 바다,2021-09-13
조강(Aves),2021-0651,집비둘기,해당없음,해당없음,2021-09-02,2021-09-02,계류,건물옆,2021-09-13
조강(Aves),2021-0652,직박구리,해당없음,해당없음,2021-08-11,2021-08-11,계류,도로변,2021-09-13
조강(Aves),2021-0653,괭이갈매기,해당없음,해당없음,2021-09-02,2021-09-03,DOA,강 바다,2021-09-13
조강(Aves),2021-0654,집비둘기,해당없음,해당없음,2021-09-03,2021-09-06,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0655,고라니,해당없음,해당없음,2021-09-04,2021-09-04,계류,도로변,2021-09-13
포유강(Mammalia),2021-0656,고라니,해당없음,해당없음,2021-09-04,2021-09-04,폐사체,도로변,2021-09-13
조강(Aves),2021-0657,집비둘기,해당없음,해당없음,2021-09-04,2021-09-04,계류,건물옆,2021-09-13
조강(Aves),2021-0658,멧비둘기,해당없음,해당없음,2021-09-04,2021-09-10,방생,건물옆,2021-09-13
조강(Aves),2021-0659,집비둘기,해당없음,해당없음,2021-09-05,2021-09-05,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0660,족제비,해당없음,해당없음,2021-09-06,2021-09-06,방생,건물옆,2021-09-13
조강(Aves),2021-0661,후투티,해당없음,해당없음,2021-09-06,2021-09-06,안락사,건물옆,2021-09-13
조강(Aves),2021-0662,괭이갈매기,해당없음,해당없음,2021-09-06,2021-09-06,안락사,강 바다,2021-09-13
조강(Aves),2021-0663,중백로,해당없음,해당없음,2021-09-07,2021-09-07,DOA,도로변,2021-09-13
조강(Aves),2021-0664,집비둘기,해당없음,해당없음,2021-09-07,2021-09-08,안락사,건물옆,2021-09-13
조강(Aves),2021-0665,소쩍새,324-6,해당없음,2021-09-07,2021-09-08,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0666,문둥이박쥐,해당없음,해당없음,2021-09-07,2021-09-10,방생,건물옆,2021-09-13
조강(Aves),2021-0667,귀제비,해당없음,해당없음,2021-09-07,2021-09-07,계류,건물옆,2021-09-13
포유강(Mammalia),2021-0668,하늘다람쥐,328,2 급,2021-09-08,2021-09-13,방생,강 바다,2021-09-13
조강(Aves),2021-0669,직박구리,해당없음,해당없음,2021-09-08,2021-09-09,안락사,건물옆,2021-09-13
